Date,Open,High,Low,Close,Volume
28/08/2017,47020,47240,45960,46100,9962100
29/08/2017,45640,46080,45160,46080,12623650
30/08/2017,46380,46400,45960,46200,7513000
31/08/2017,46220,46640,46000,46320,11011700
01/09/2017,46460,46640,46300,46480,10641700
04/09/2017,45780,46360,45500,46040,7943500
05/09/2017,46240,46900,45960,46760,11716100
06/09/2017,46760,47180,46700,47000,10811050
07/09/2017,47000,48220,47000,48120,9676500
08/09/2017,48700,49180,48580,49080,10893000
11/09/2017,49700,50180,49500,49800,10374750
12/09/2017,50200,50220,49140,49600,12029750
13/09/2017,49820,50400,49440,49620,9357000
14/09/2017,50060,50320,49760,50300,14204750
15/09/2017,50300,50560,49860,50400,10757300
18/09/2017,50540,52480,50520,52480,11524950
19/09/2017,52500,52640,51780,52120,9850400
20/09/2017,52120,52500,51840,52220,9292750
21/09/2017,52220,52960,52220,52800,8839800
25/09/2017,53000,53680,53000,53620,9303100
26/09/2017,53620,53620,53620,53620,0
27/09/2017,52000,52200,51500,51680,10797000
28/09/2017,52260,52460,51260,51260,12025450
29/09/2017,51180,51620,50840,51280,12909400
10/10/2017,53360,53640,52800,52800,20519800
11/10/2017,53600,54760,53340,54640,13652150
12/10/2017,54840,55160,54100,54800,13890700
13/10/2017,54540,54840,53780,54000,12601650
16/10/2017,53980,54860,53760,53920,9769950
17/10/2017,54020,55380,54000,54800,10607800
18/10/2017,54820,55240,54040,54760,10110750
19/10/2017,54700,54700,52980,52980,12108700
20/10/2017,52800,54100,52800,53840,8027050
23/10/2017,54600,54640,54000,54300,8311050
24/10/2017,54700,54780,54040,54040,5806050
25/10/2017,54040,54420,53700,53900,5882850
26/10/2017,53720,53900,52400,52400,9776550
27/10/2017,52400,53320,52140,53080,7392500
30/10/2017,53780,54320,53700,54040,8196150
31/10/2017,54060,55440,53500,55080,13381550
01/11/2017,57500,57500,56180,57220,14510250
02/11/2017,57500,57520,56760,57060,10721050
03/11/2017,57060,57140,55860,56380,9935800
06/11/2017,56380,56500,55340,56380,9000950
07/11/2017,56380,56920,55860,56100,7464550
08/11/2017,56100,57060,55860,56760,8520200
09/11/2017,56920,56920,55900,56340,11994050
10/11/2017,55800,56540,55780,56400,6748800
13/11/2017,56400,56800,56100,56380,8806650
14/11/2017,56380,56740,55920,55920,6725000
15/11/2017,55920,56320,55320,55340,8816950
16/11/2017,55440,56000,55400,55780,7640700
17/11/2017,56400,56880,55820,55820,10733150
20/11/2017,55900,55980,55200,55200,9472750
21/11/2017,55400,55840,55280,55280,10324700
22/11/2017,55980,56200,55620,55960,7952950
23/11/2017,55960,55980,55020,55300,6272900
24/11/2017,55300,55500,55180,55460,4536200
27/11/2017,55360,55360,52640,52640,18128900
28/11/2017,52700,53280,51720,53280,13499400
29/11/2017,53200,53240,52500,52600,9590250
30/11/2017,50800,51860,50200,50800,29634150
01/12/2017,50800,51780,50800,50840,12868600
04/12/2017,50840,51340,50020,51340,14865050
05/12/2017,50600,51300,50280,51260,9326550
06/12/2017,51260,51560,50020,50020,10889200
07/12/2017,50040,50980,50020,50740,11065600
08/12/2017,51360,52000,51040,52000,11290450
11/12/2017,52000,52040,51500,51780,8125850
12/12/2017,51820,52100,51660,52100,8765050
13/12/2017,52100,52100,51100,51320,11333700
14/12/2017,51320,52280,51060,51060,20310400
15/12/2017,51240,51480,50520,50620,14928550
18/12/2017,50620,51240,50620,51200,7350250
19/12/2017,51540,52080,51520,51560,11978600
21/12/2017,51000,51060,49100,49140,15624300
22/12/2017,49400,49960,49240,49700,11199650
26/12/2017,49760,50100,48200,48200,16039850
27/12/2017,48960,49560,48460,49360,10743600
28/12/2017,49560,50960,49500,50960,8985450
02/01/2018,51380,51400,50780,51020,8474250
03/01/2018,52540,52560,51420,51620,10013500
04/01/2018,52120,52180,50640,51080,11695450
05/01/2018,51300,52120,51200,52120,9481150
08/01/2018,52400,52520,51500,52020,8383650
09/01/2018,51460,51720,49980,50400,18013600
10/01/2018,50500,50520,48640,48840,18566800
11/01/2018,48200,49260,48020,48240,25123800
12/01/2018,48240,48480,46760,48200,27270450
15/01/2018,48800,48980,47920,48540,10096000
16/01/2018,48760,50140,48620,50000,20389650
17/01/2018,50020,50020,49060,49620,11053050
18/01/2018,50020,50640,49820,49900,14848850
19/01/2018,50380,50380,49040,49320,9219950
22/01/2018,48640,48680,47960,48240,12520900
23/01/2018,48660,49160,48300,49160,13532700
24/01/2018,48860,49700,48560,49340,9550500
25/01/2018,49220,50360,49160,50260,11160350
26/01/2018,50500,50780,49840,50780,10350100
29/01/2018,51200,51480,50900,51220,11838800
30/01/2018,50440,50640,49780,49800,12284550
31/01/2018,50020,54140,49600,49900,64681300
01/02/2018,50620,50960,49720,49820,27609450
02/02/2018,49380,49400,47700,47700,29260350
05/02/2018,46500,48320,46000,47920,28357900
06/02/2018,46600,47920,46580,47420,19406450
07/02/2018,48240,48260,45800,45800,23448050
08/02/2018,46120,46620,45980,46000,23251050
09/02/2018,44440,45180,44420,44700,17465000
12/02/2018,45100,46320,45040,45720,15754950
13/02/2018,46200,48060,46200,47540,18923250
14/02/2018,48080,49100,47940,49000,18905900
19/02/2018,49800,49800,47860,48380,15353450
20/02/2018,48040,48160,47220,47400,10122600
21/02/2018,47280,47580,46840,47280,12880200
22/02/2018,47260,47260,46760,46760,8869950
23/02/2018,46760,47800,46760,47220,12423300
26/02/2018,47280,47560,47080,47380,9560650
27/02/2018,48360,48380,47380,47380,9830550
28/02/2018,47380,48100,47000,47060,15162350
02/03/2018,46580,46800,46000,46020,13265500
05/03/2018,45820,46160,45080,45200,14100950
06/03/2018,45920,47100,45820,47020,15423350
07/03/2018,48200,48900,47220,48620,21427050
08/03/2018,49200,49480,48080,49200,19463650
09/03/2018,49440,50540,49240,49740,14304400
12/03/2018,50560,50780,49580,49740,8688950
13/03/2018,50760,51660,50360,51660,20098700
14/03/2018,51020,52000,51000,51760,12713250
15/03/2018,52000,52020,51020,51540,8882450
16/03/2018,51220,51420,50240,51140,12184900
19/03/2018,50620,51340,50440,50740,8218850
20/03/2018,50700,51200,50100,51200,8193250
21/03/2018,51780,51780,51060,51060,8905200
22/03/2018,51060,51780,51040,51780,8454100
23/03/2018,50340,50720,49600,49720,14854950
26/03/2018,49420,50280,49040,50280,10057750
27/03/2018,50320,50460,49080,49980,11874000
28/03/2018,49100,49100,48340,48700,15159450
29/03/2018,48700,49560,48320,49040,10067000
30/03/2018,49080,49900,49080,49220,7777100
02/04/2018,49000,49220,48500,48540,7115650
03/04/2018,47880,48140,47280,48120,12768250
04/04/2018,48160,48260,46920,46920,12384200
05/04/2018,47400,49380,47340,48740,13245600
06/04/2018,48000,48580,47400,48400,12532700
09/04/2018,48260,49440,48200,49200,9950400
10/04/2018,48540,49220,48040,48880,10984350
11/04/2018,49900,49900,48600,48860,10051100
12/04/2018,49440,49440,48880,49000,12466250
13/04/2018,49600,50180,49400,49800,10278300
16/04/2018,50320,50600,49860,50340,7877450
17/04/2018,50240,50540,49820,49980,7772000
18/04/2018,51000,51360,50580,51360,13462600
19/04/2018,52000,52980,51540,52780,17190550
20/04/2018,51800,52260,51420,51620,11761000
23/04/2018,51000,52080,51000,51900,11619000
24/04/2018,51840,51860,50080,50460,15770300
25/04/2018,49220,50500,49220,50400,16614600
26/04/2018,50420,52160,50400,52140,18046550
27/04/2018,53380,53640,52440,53000,30310800
30/04/2018,53000,53000,53000,53000,0
02/05/2018,53000,53000,53000,53000,0
03/05/2018,53000,53000,53000,53000,0
04/05/2018,53000,53900,51800,51900,39565391
08/05/2018,52600,53200,51900,52600,23104720
09/05/2018,52600,52800,50900,50900,16128305
10/05/2018,51700,51700,50600,51600,13905263
11/05/2018,52000,52200,51200,51300,10314997
14/05/2018,51000,51100,49900,50100,14909272
15/05/2018,50200,50400,49100,49200,18709146
16/05/2018,49200,50200,49150,49850,15918683
17/05/2018,50300,50500,49400,49400,10365440
18/05/2018,49900,49900,49350,49500,6706570
21/05/2018,49650,50200,49100,50000,9020998
23/05/2018,50600,52000,50400,51800,17095490
24/05/2018,52000,52000,51100,51400,8289275
25/05/2018,51000,52800,50800,52700,15207266
28/05/2018,52500,53000,52000,52300,9787820
29/05/2018,52200,52500,51300,51300,8480437
30/05/2018,51300,51500,49100,49500,20498098
31/05/2018,50400,50800,49850,50700,63491109
01/06/2018,50500,51700,49950,51300,13038499
04/06/2018,50800,51200,50700,51100,9767171
05/06/2018,51100,51400,50400,51300,9144100
07/06/2018,51800,51800,50500,50600,13590016
08/06/2018,50200,50400,49600,49650,16951706
11/06/2018,49750,50300,49350,49900,10571312
12/06/2018,49700,49800,49250,49400,12110569
14/06/2018,49000,49000,48200,48200,20971729
15/06/2018,48500,48700,47650,47650,17080892
18/06/2018,47600,47650,46200,46600,16661870
19/06/2018,47200,47350,46500,47000,15217971
20/06/2018,47450,47600,46850,47000,12959316
21/06/2018,47900,47900,47050,47050,10015541
22/06/2018,47000,47250,46200,47250,10298006
25/06/2018,47050,47050,46150,46650,10587711
26/06/2018,45900,47300,45900,47000,11223166
27/06/2018,47450,48500,47000,47950,15274752
28/06/2018,46850,47150,46600,46800,12784800
29/06/2018,46250,47150,46200,46650,14099635
02/07/2018,46500,47150,45500,45550,13112253
03/07/2018,45750,46450,45750,46150,10959655
04/07/2018,46700,47050,46050,46250,8776763
05/07/2018,46100,46550,45600,45950,7039773
06/07/2018,45500,45850,44650,44900,17843706
09/07/2018,45500,46100,45200,45600,11602464
10/07/2018,46200,46550,46100,46300,10528665
11/07/2018,46400,46450,45400,46000,11224077
12/07/2018,45900,46250,45450,45500,11828104
13/07/2018,45800,46500,45750,46500,11543389
16/07/2018,46800,46800,46000,46050,7678719
17/07/2018,46150,46200,45600,45850,8892953
18/07/2018,46700,47200,46450,46550,10952645
19/07/2018,47050,47200,46600,46900,9880128
20/07/2018,47000,47600,46700,47450,10474547
23/07/2018,47100,47200,46150,46500,10823782
24/07/2018,46350,46600,45950,46150,8261363
25/07/2018,46250,46550,45900,46150,7222471
26/07/2018,46100,47000,46000,46900,7374946
27/07/2018,46450,47000,46450,46900,4762460
30/07/2018,46550,46800,46350,46500,5723035
31/07/2018,46200,46450,46000,46250,8033607
01/08/2018,46050,46850,46050,46550,7484499
02/08/2018,46550,46800,45500,45550,8560924
03/08/2018,45850,45900,45450,45750,8274944
06/08/2018,46150,46150,45750,45800,6771979
07/08/2018,46300,46750,45900,46700,9058174
08/08/2018,47000,47000,46550,46800,6429338
09/08/2018,47000,47050,46450,46900,12010886
10/08/2018,46150,46400,44850,45400,16670643
13/08/2018,44950,45100,44650,45050,9803831
14/08/2018,44850,45400,44850,45150,6409259
16/08/2018,43800,44650,43700,44250,10088229
17/08/2018,44050,44400,44050,44100,6808747
20/08/2018,43500,44200,43500,43850,7289124
21/08/2018,43700,44900,43700,44800,9520270
22/08/2018,45150,46200,44900,46100,11641656
23/08/2018,46150,46200,45700,46200,6730918
24/08/2018,45900,46400,45550,46150,6582535
27/08/2018,46100,46550,46000,46300,5263782
28/08/2018,46800,46950,46300,46550,7365976
29/08/2018,46750,46800,46400,46800,5572374
30/08/2018,46950,47950,46700,47650,12193231
31/08/2018,47100,48450,47000,48450,13577454
03/09/2018,48200,48300,47300,47450,8595084
04/09/2018,47550,47800,47200,47650,6791255
05/09/2018,47300,47450,46400,46600,9139998
06/09/2018,46200,46400,45800,46100,9040553
07/09/2018,44500,45200,44400,44900,18285508
10/09/2018,45450,45550,45000,45500,9979838
11/09/2018,45550,45900,45050,45050,9865790
12/09/2018,44900,45100,44500,44550,12995269
13/09/2018,44550,44750,44000,44050,18277942
14/09/2018,45000,45850,44900,45850,12446344
17/09/2018,45550,45800,44900,45150,8123384
18/09/2018,44950,45900,44700,45500,9987090
19/09/2018,46000,46200,45700,46150,9367454
20/09/2018,46850,47600,46400,47250,13536966
21/09/2018,46550,47550,46550,47400,14476906
27/09/2018,46950,47500,46450,47500,15804586
28/09/2018,47250,47250,46300,46450,11270515
01/10/2018,46450,46800,45800,46350,6354983
02/10/2018,46450,46700,45700,45700,6607188
04/10/2018,45150,45600,44700,44700,11865327
05/10/2018,44800,45500,44550,44700,10544165
08/10/2018,44200,45200,44200,44950,6759464
10/10/2018,45250,45500,44500,45300,10341349
11/10/2018,44000,44650,43100,43100,19324537
12/10/2018,43200,44650,43200,44000,12640906
15/10/2018,44050,44050,43350,43800,7434522
16/10/2018,43700,44150,43350,43600,6825677
17/10/2018,44150,44500,44000,44150,8306193
18/10/2018,43950,44450,43700,44050,8347725
19/10/2018,43900,44150,43450,43900,7842520
22/10/2018,43450,43950,43200,43550,8357648
23/10/2018,43300,43450,42550,43050,9531231
24/10/2018,43050,43100,42250,42550,13522825
25/10/2018,40600,41550,40550,41000,19338170
26/10/2018,41100,41300,40400,41000,14413864
29/10/2018,40850,41950,40550,41400,14460521
30/10/2018,41400,43000,41000,42350,14205190
31/10/2018,42900,43350,41700,42400,17621480
01/11/2018,42450,42950,42150,42150,13423132
02/11/2018,43050,44250,42800,44150,16517112
05/11/2018,43750,43800,42900,43800,9426777
06/11/2018,43750,43800,42950,43750,7713625
07/11/2018,43600,44500,43400,44000,11553998
08/11/2018,44900,45050,44050,44050,12617397
09/11/2018,44450,44850,43900,44300,7318500
12/11/2018,43850,45250,43700,45200,8552566
13/11/2018,43900,44500,43400,44500,9311126
14/11/2018,44500,44500,43800,44100,6783344
15/11/2018,44050,44350,43500,44250,5864067
16/11/2018,44600,44750,43700,44000,7777124
19/11/2018,44050,44250,43450,43650,7538720
20/11/2018,42450,43000,42100,42800,9420664
21/11/2018,41800,42300,41800,42100,10769589
22/11/2018,42000,42650,42000,42450,5970796
23/11/2018,42450,42600,41900,42400,5192638
26/11/2018,42150,42800,42100,42600,6613009
27/11/2018,42900,43100,42500,43050,8367091
28/11/2018,42800,43200,42750,43150,6943099
29/11/2018,43850,43850,42900,43150,8473511
30/11/2018,43450,44000,41750,41850,19775519
03/12/2018,42750,43400,42400,43250,12110702
04/12/2018,42650,42900,41900,42150,14347746
05/12/2018,40900,41750,40850,41450,12631983
06/12/2018,40600,41100,40450,40500,14251826
07/12/2018,40900,41400,40850,40950,11433083
10/12/2018,40450,40650,40000,40200,14892263
11/12/2018,40600,40700,40200,40250,10638766
12/12/2018,40250,40700,40150,40450,12024279
13/12/2018,40650,40750,40000,40000,26254646
14/12/2018,40200,40200,38700,38950,19671783
17/12/2018,38650,39600,38650,39150,11532968
18/12/2018,38300,39200,38300,38900,11042101
19/12/2018,38900,39350,38850,39100,9942037
20/12/2018,38600,39100,38500,38650,11937617
21/12/2018,38200,38650,38100,38650,14947080
24/12/2018,38500,39050,38300,38800,9729530
26/12/2018,38400,38750,38300,38350,12707675
27/12/2018,38700,38800,38100,38250,10510643
28/12/2018,38250,38900,38200,38700,9900267
02/01/2019,39400,39400,38550,38750,7847664
03/01/2019,38300,38550,37450,37600,12471493
04/01/2019,37450,37600,36850,37450,14108958
07/01/2019,38000,38900,37800,38750,12748997
08/01/2019,38000,39200,37950,38100,12756554
09/01/2019,38650,39600,38300,39600,17452708
10/01/2019,40000,40150,39600,39800,14731699
11/01/2019,40350,40550,39950,40500,11661063
14/01/2019,40450,40700,39850,40050,11984996
15/01/2019,40050,41100,39850,41100,11492756
16/01/2019,41150,41450,40700,41450,8491595
17/01/2019,41700,42100,41450,41950,11736903
18/01/2019,42000,42400,41950,42300,11029256
21/01/2019,42700,42750,41900,42750,11355701
22/01/2019,42750,42850,41850,42150,9964356
23/01/2019,41350,42250,41350,42000,11071079
24/01/2019,43050,43100,42350,43050,14747623
25/01/2019,44300,44750,43750,44750,22789395
28/01/2019,45000,45500,44600,45050,17998914
29/01/2019,45050,45500,44350,45500,16215017
30/01/2019,44800,46400,44800,46400,17505980
31/01/2019,46650,47050,46150,46150,21621145
01/02/2019,46650,46950,46250,46350,13832454
07/02/2019,46800,47100,46200,46200,15872001
08/02/2019,45700,45700,44650,44800,12689196
11/02/2019,44500,45000,44250,45000,11125044
12/02/2019,44650,46250,44650,46050,13184367
13/02/2019,46400,46700,46000,46200,11299738
14/02/2019,46600,47500,46150,47500,17259341
15/02/2019,46750,46850,45650,46050,10554643
18/02/2019,46500,46850,45850,46200,8183728
19/02/2019,45850,46150,45450,45950,6741395
20/02/2019,46750,47100,46500,46900,11506720
21/02/2019,46500,47200,46200,46950,8694009
22/02/2019,46500,47150,46450,47150,6895772
25/02/2019,47400,47550,47050,47350,7484716
26/02/2019,47350,47450,46500,46750,7985547
27/02/2019,47000,47250,46750,46750,8045211
28/02/2019,46400,46500,45100,45100,23569321
04/03/2019,46000,46100,44800,44850,12926539
05/03/2019,44600,45100,44150,44250,10612405
06/03/2019,44000,44300,43700,44000,10202544
07/03/2019,43400,44950,43400,44450,11049749
08/03/2019,44450,44800,43800,43800,7729069
11/03/2019,44400,44450,43650,43650,10717408
12/03/2019,44300,44950,44150,44650,11431977
13/03/2019,44250,44450,43700,43850,8108343
14/03/2019,43700,44300,43550,43850,18039161
15/03/2019,43800,44250,43700,44200,16814163
18/03/2019,43950,44150,43450,43700,8188876
19/03/2019,43750,43900,43550,43900,7609563
20/03/2019,43800,44200,43100,44050,9846242
21/03/2019,44600,46250,44050,45850,21138016
22/03/2019,46850,47000,46250,46550,12535911
25/03/2019,45300,45650,44800,45500,8699728
26/03/2019,45500,45700,44900,45250,9729811
27/03/2019,44750,45600,44250,45350,9568081
28/03/2019,44950,45200,44300,44850,6821306
29/03/2019,44500,44900,44200,44650,11491713
01/04/2019,45200,45450,44850,45050,7362129
02/04/2019,45550,46100,45350,45750,9480688
03/04/2019,46750,46750,45800,46600,12436570
04/04/2019,46150,47100,46150,46950,12650168
05/04/2019,46950,47550,46600,46850,8546339
08/04/2019,47250,47250,46150,46650,8507909
09/04/2019,46700,46950,46200,46650,6878761
10/04/2019,46400,46700,46050,46700,11883995
11/04/2019,46700,46800,46150,46250,13697399
12/04/2019,46050,46900,46000,46850,7668936
15/04/2019,47150,47500,47000,47050,8733019
16/04/2019,47400,47400,46800,47250,7730881
17/04/2019,47300,47600,47000,47050,5513658
18/04/2019,47200,47250,45500,45600,12808747
19/04/2019,45750,46000,45250,45300,8479710
22/04/2019,45400,45900,45100,45350,6006957
23/04/2019,45050,45500,45000,45200,6920566
24/04/2019,45400,45650,44150,44750,13299267
25/04/2019,44250,45000,44100,44650,10868965
26/04/2019,44200,45000,43800,44850,9739982
29/04/2019,45150,46150,45100,46150,8777517
30/04/2019,46000,46300,45350,45850,11121273
02/05/2019,45500,46150,45400,45900,8625126
03/05/2019,45900,46050,45300,45300,6562916
07/05/2019,45250,45300,44400,44850,12014907
08/05/2019,44300,44850,44200,44250,10398754
